TRANSACTION ID,DATE,TRANSACTION DETAILS,DESCRIPTION,CATEGORY,PAYMENT METHOD,WITHDRAWAL AMT,DEPOSIT AMT
TRX20220328123461,1-Jan-24,Fund Transfer From Bank Rakyat,Transfer of funds from Bank Rakyat,Income/Salary,Bank transfer,,100000.0
TRX20220328123462,1-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,50000.0
TRX20220328123463,1-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,772.0,
TRX20220328123464,1-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,42.0,
TRX20220328123465,1-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,599.0,
TRX20220328123466,1-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,315.0,
TRX20220328123467,1-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,871.0,
TRX20220328123468,2-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,970.0,
TRX20220328123469,2-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,675.0,
TRX20220328123470,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,214.0,
TRX20220328123471,2-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,813.0,
TRX20220328123472,2-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,50.0,
TRX20220328123473,2-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,378.0,
TRX20220328123474,3-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,247.0,
TRX20220328123475,3-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,42.0,
TRX20220328123476,3-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,889.0,
TRX20220328123477,3-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,605.0,
TRX20220328123478,3-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,4000.0
TRX20220328123479,3-Jan-24,Grocery Shopping,Expenses for weekly grocery shopping,Groceries,Debit Card,250.0,
TRX20220328123480,3-Jan-24,Internet Subscription,Monthly subscription fee for internet service,Utilities,Direct debit,60.0,
TRX20220328123481,3-Jan-24,Mobile Phone Bill,Monthly bill for mobile phone usage,Utilities,Online banking,40.0,
TRX20220328123482,3-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,831.0,
TRX20220328123483,3-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,189.0,
TRX20220328123484,3-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,812.0,
TRX20220328123485,3-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,326.0,
TRX20220328123486,4-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,178.0,
TRX20220328123487,4-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,91.0,
TRX20220328123488,4-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,12.0,
TRX20220328123489,4-Jan-24,Car Insurance,Annual car insurance premium,Insurance,Bank transfer,1200.0,
TRX20220328123490,4-Jan-24,Dining Out,Expenses for dining out,Dining,Cash,80.0,
TRX20220328123491,4-Jan-24,Gym Membership,Monthly membership fee for gym,Health & Fitness,Debit Card,70.0,
TRX20220328123492,5-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,20000.0
TRX20220328123493,5-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,193.0,
TRX20220328123494,5-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,830.0,
TRX20220328123495,5-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,56.0,
TRX20220328123496,5-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,992.0,
TRX20220328123497,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,309.0,
TRX20220328123498,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,77.0,
TRX20220328123499,5-Jan-24,Gas Bill,Monthly gas utility bill,Utilities,Direct debit,50.0,
TRX20220328123500,5-Jan-24,Movie Tickets,Expenses for movie tickets,Entertainment,Online payment,30.0,
TRX20220328123501,5-Jan-24,Petrol,Fuel expenses for the car,Transportation,Debit Card,100.0,
TRX20220328123502,5-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,372.0,
TRX20220328123503,5-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,932.0,
TRX20220328123504,5-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,89.0,
TRX20220328123505,5-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,938.0,
TRX20220328123506,5-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,766.0,
TRX20220328123507,5-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,124.0,
TRX20220328123508,5-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,327.0,
TRX20220328123509,5-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,442.0,
TRX20220328123510,5-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,756.0,
TRX20220328123511,5-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,367.0,
TRX20220328123512,5-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,385.0,
TRX20220328123513,6-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,669.0,
TRX20220328123514,6-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,415.0,
TRX20220328123515,6-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,138.0,
TRX20220328123516,6-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,8130.0
TRX20220328123517,6-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,1200.0
TRX20220328123518,6-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,1500.0
TRX20220328123519,6-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,1800.0
TRX20220328123520,6-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,639.0,
