TRANSACTION ID,DATE,TRANSACTION DETAILS,DESCRIPTION,CATEGORY,PAYMENT METHOD,WITHDRAWAL AMT,DEPOSIT AMT
TRX20220329124217,1-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,445.0,
TRX20220329124423,1-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,200000.0
TRX20220329124483,1-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,265.0,
TRX20220329124481,1-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,306.0,
TRX20220329124487,1-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,202.0,
TRX20220329124430,1-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,830.0,
TRX20220329124581,1-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,265.0,
TRX20220329124576,1-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,202.0,
TRX20220329124127,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,108.0,
TRX20220329124070,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,108.0,
TRX20220329124471,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,626.0,
TRX20220329124450,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,626.0,
TRX20220329124418,2-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,280.0,
TRX20220329124174,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,108.0,
TRX20220329124353,2-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,626.0,
TRX20220329124287,3-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,605.0,
TRX20220329124302,3-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,605.0,
TRX20220329124074,3-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,813.0,
TRX20220329124107,3-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,813.0,
TRX20220329124482,3-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,675.0,
TRX20220329124534,3-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,605.0,
TRX20220329124383,3-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,42.0,
TRX20220329124463,3-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,813.0,
TRX20220329124264,3-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,605.0,
TRX20220329124105,3-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,605.0,
TRX20220329124211,4-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,970.0,
TRX20220329124259,4-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,970.0,
TRX20220329124333,4-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,42.0,
TRX20220329124121,4-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,42.0,
TRX20220329124197,4-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,42.0,
TRX20220329124544,4-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,970.0,
TRX20220329124251,5-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,669.0,
TRX20220329124539,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,77.0,
TRX20220329124577,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,77.0,
TRX20220329124377,5-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,992.0,
TRX20220329124358,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,77.0,
TRX20220329124189,5-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,669.0,
TRX20220329124524,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,309.0,
TRX20220329124515,5-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,669.0,
TRX20220329124097,5-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,46.0,
TRX20220329124194,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,77.0,
TRX20220329124559,6-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,138.0,
TRX20220329124407,6-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,198.0,
TRX20220329124569,6-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,550.0,
TRX20220329124514,6-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,639.0,
TRX20220329124085,6-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,654.0,
TRX20220329124151,6-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,731.0,
TRX20220329124460,6-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,18.0,
TRX20220329124286,6-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,8130.0
TRX20220329124451,6-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,816.0,
TRX20220329124073,6-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,654.0,
TRX20220329124188,6-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,639.0,
TRX20220329124133,6-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,816.0,
TRX20220329124500,6-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,639.0,
TRX20220329124163,6-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,18.0,
TRX20220329124312,6-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,667.0
TRX20220329124545,6-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,550.0,
TRX20220329124512,6-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,550.0,
TRX20220329124455,6-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,654.0,
TRX20220329124183,6-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,639.0,
TRX20220329124147,6-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,1500.0
TRX20220329124116,6-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,639.0,
TRX20220329124108,6-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,550.0,
TRX20220329124387,6-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,18.0,
