TRANSACTION ID,DATE,TRANSACTION DETAILS,DESCRIPTION,CATEGORY,PAYMENT METHOD,WITHDRAWAL AMT,DEPOSIT AMT
TRX20220332124468,1-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,625.26,
TRX20220332124489,1-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,413.0,
TRX20220332124138,1-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,644.0,
TRX20220332124420,1-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,200000.0
TRX20220332124391,1-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,644.0,
TRX20220332124422,1-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,564.0,
TRX20220332124263,1-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,413.0,
TRX20220332124480,1-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,348.0,
TRX20220332124517,1-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,413.0,
TRX20220332124330,1-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,99.0,
TRX20220332124522,1-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,625.26,
TRX20220332124390,2-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,939.0,
TRX20220332124262,2-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,939.0,
TRX20220332124493,2-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,159.0,
TRX20220332124445,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,639.0,
TRX20220332124106,2-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,870.0
TRX20220332124381,2-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,1000.0
TRX20220332124348,2-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,159.0,
TRX20220332124171,2-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,870.0
TRX20220332124418,2-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,939.0,
TRX20220332124559,2-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,159.0,
TRX20220332124115,2-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,939.0,
TRX20220332124155,2-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,939.0,
TRX20220332124457,2-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,159.0,
TRX20220332124108,2-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,639.0,
TRX20220332124448,2-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,700.0
TRX20220332124191,3-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,639.0,
